3,,,,,,,,,,,,,,,,Stream #1,,,,,,,,,,,Stream #2,,,,,,,Stream #3,,,,,,
Photonum,SortChem,Old Micronum,Site Name,Date,Sample_Collection_Time_hr,H2O2_start_time_hr,Sample_Depth_m,Water_Depth_m,Water_type,Cond_(uS/cm),pH,Water_cdtns,Wind_speed_kts,Sky_cdtns,NOTES:,C-SCG,C-FISH,C-NA,100-TEM,100-LTR,53-TEM,53-LTR,3-NA,0.22-NA,V-SYBR,V-Cult,Abs/EEM,DOC,BacResp,BacProd,H2O2 snapshot,H2O2 whole,H2O2 filtered,100 µm - EtOH,100 µm - Gly,20 µm - EtOH,20 µm - Gly,.8 µm - EtOH,.8 µm - Gly,.45 µm - virus
E140009,E2014-0001,E2014-0001,Huron River,14-May-14,,,0.01,,RI,,8.220,,,,pH in lab right after collecting water from Huron River was 8.134,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,
E140010,E2014-0002,E2014-0002,WLE12,22-May-14,,,,,LA,,8.320,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,
E140011,E2014-0003,E2014-0003,WLE2,22-May-14,,,,,LA,,8.255,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,
E140012,E2014-0004,E2014-0004,WLE2,27-May-14,12:50 PM,2:12 PM,DepthINT,4.88,LA,,8.330,,,,dry run,X,X,X,,X,,X,X,X,X,X,X,X,X,x,X,X,X,X,X,X,X,X,X,X
E140013,E2014-0005,E2014-0005,WLE4,27-May-14,12:15 PM,2:21 PM,DepthINT,8.11,LA,,8.090,,,,dry run,X,X,X,X,X,X,X,X,X,X,X,X,X,X,x,X,X,X,X,X,X,X,X,X,X
E140014,E2014-0006,E2014-0006,WLE8,3-Jun-14,10:30 AM,,0.01,,LA,,8.240,R,,S,,,,,,,,,,,,,X,,,,,,,,,,,,,
E140015,E2014-0007,E2014-0007,WLE6,3-Jun-14,11:50 AM,,0.01,,LA,,8.290,R,,S,,,,,,,,,,,,,X,,,,,,,,,,,,,
E140016/152,E2014-0008,E2014-0008,WLE4,10-Jun-14,11:15 AM,11:35 AM,DepthINT,,LA,,8.220,M,,O,shakedown cruise ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140017,E2014-0009,E2014-0009,WLE2,10-Jun-14,12:45 PM,12:55 PM,DepthINT,,LA,,8.120,M,,O,shakedown cruise ,X,X,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140018,E2014-0010,E2014-0010,WLE2,16-Jun-14,10:35 AM,11:00 AM,DepthINT,5.1,LA,,8.080,C,5 - 10,S,stream 1 & 3 labeled CORRECTLY (Following notes for Streams 1 and 3 ONLY),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140019,E2014-0011,E2014-0011,WLE6,16-Jun-14,11:30 AM,11:40 AM,DepthINT,2.8,LA,,8.309,C,5.0,S,"stream 1 C-NA labeled: St. 6 C-NA  06/16/14, relabelled 11.24.14 -MB",,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140020,E2014-0012,E2014-0012,WLE12,16-Jun-14,12:15 PM,12:35 PM,DepthINT,6.1,LA,,8.390,C,5 - 10,S,stream 1 & 3 labeled E2014-0011; relabelled 11.24.14 -MB,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140021,E2014-0013,E2014-0013,WLE13,16-Jun-14,12:55 PM,1:10 PM,DepthINT,8.4,LA,,8.210,C,5 - 10,S,stream 1 C-NA labeled: St. 13 C-NA  06/16/14; relabelled 11.24.14 -MB,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140022,E2014-0014,E2014-0014,WLE4,16-Jun-14,1:35 PM,1:55 PM,DepthINT,8.5,LA,,8.308,C,5.0,S,stream 1 & 3 labeled E2014-0012; relabelled 11.24.14 -MB,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140023,E2014-0015,E2014-0015,WLE8,16-Jun-14,2:25 PM,2:40 PM,DepthINT,4.4,LA,,8.038,C,5.0,S,stream 1 C-NA labeled: St. 8 C-NA  06/16/14; relabelled 11.24.14 -MB,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140024/153,E2014-0016,E2014-0016,WLE2,30-Jun-14,10:14 AM,,DepthINT,4.9,LA,,8.647,M,10.0,S,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X
E140025,E2014-0017,E2014-0017,WLE6,30-Jun-14,11:04 AM,,DepthINT,2.5,LA,,8.435,C,10.0,S,,,,X,,,,,,,,,X,X,,,,X,X,,,,,,,
E140026,E2014-0018,E2014-0018,WLE12,30-Jun-14,11:37 AM,,DepthINT,6,LA,,8.389,C,10.0,L,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X
E140027,E2014-0019,E2014-0019,WLE13,30-Jun-14,12:16 PM,,DepthINT,8.3,LA,,8.558,M,10.0,S,,,,X,,,,,,,,,X,X,,,,X,X,,,,,,,
