Date,Site,Arrival,Departure,Lat,Long,Winds (kn),Waves ,Sky,StationDepth,Secchi,Temp,Turbidity,ParMC,DissMC,Phycocyanin,Chla
05/27/14,WE2,12:47,12:50,41 45.743,83 19.874,,1,partly sunny,4.9,0.9,21.4,5.44,nd,,3.15,67.2
05/27/14,WE4,12:14,12:17,41 49.595,83 11.698,,<0.5,partly sunny,8.1,2,19.4,1.3,nd,,0.13,5.67
05/27/14,WE6,10:47,10:57,41 42.545,83 22.880,,<1,partly sunny,2.6,0.6,22.1,11.2,0.12,,1.97,50.62
05/27/14,WE8,10:04,10:21,41 49.15,83 21.553,10-May,<1,mostly cloudy,5.2,2,20.5,1.46,nd,,0.21,4.31
05/27/14,WE12,11:16,11:25,41 42.535,83 14.989,,<1,partly sunny,7,3,19.4,1.1,nd,,0.1,3.86
05/27/14,WE13,11:44,11:53,41 44.582,83 08.096,,<0.5,cloudy,8.5,3,18.8,0.76,nd,,0.07,3.52
06/16/14,WE2,10:35,10:57,41 45.929,83 19.766,10-May,1,sunny,5.1,0.9,22.4,10.1,nd,,0.31,10.72
06/16/14,WE4,13:30,13:49,41 49.499,83 11.539,5,0,sunny,8.5,4,22.5,1.34,nd,,0.44,12.26
06/16/14,WE6,11:22,11:39,41 42.925,83 22.928,5,1,mostly sunny,2.8,0.4,23.3,11.4,0.32,,1.82,23.04
06/16/14,WE8,14:20,14:36,41 50.060,83 21.622,5,0,sunny,4.4,1.4,23.3,3.47,0.25,,1.45,5.74
06/16/14,WE12,12:12,12:27,41 42.248,83 15.368,10-May,0,mostly cloudy,6.1,0.9,23.3,11.9,nd,,1.06,34.37
06/16/14,WE13,12:58,13:08,41 44.513,83 08.354,10-May,0,mostly sunny,8.4,2,22.8,3.13,nd,,0.21,5.09
06/30/14,WE2,10:12,10:38,41 45.770,83 19.808,10,3-Jan,mostly cloudy,4.9,1.3,24.7,4.81,nd,,1.69,19.94
06/30/14,WE4,12:48,13:03,41 49.546,83 11.733,10,3-Jan,mostly sunny,8,2,24.8,1.79,nd,,1.59,12.93
06/30/14,WE6,11:05,11:18,41 43.000,83 23.004,10,2-Jan,mostly cloudy,2.5,0.9,26.1,8.39,0.4,,6.57,29.81
06/30/14,WE8,13:37,13:51,41 50.002,83 21.804,10,3-Jan,mostly sunny,4.2,1,25.9,8.62,0.1,,4.49,35.97
06/30/14,WE12,11:38,11:54,41 42.192,83 15.452,10,3-Jan,mostly cloudy,6,1.4,24.5,4.01,nd,,0.63,7.88
06/30/14,WE13,12:13,12:25,41 44.487,83 08.232,10,3-Jan,mostly sunny,8.3,3,24.7,1.41,nd,,0.81,10.62
07/08/14,WE2,10:53,,41 45.876,83 19.813,15-Oct,2,coudy,5,1.4,23.8,3.55,0.29,,1.18,6.85
07/08/14,WE4,13:22,13:47,41 49.599,83 11.804,15,4,sunny,7,2,23.7,1.16,nd,,0.6,3.55
07/08/14,WE6,11:23,11:43,41 42.871,83 22.767,15-Oct,2,rainy,2.8,0.3,23.8,11.9,nd,,13.75,46.27
07/08/14,WE8,14:37,14:48,41 50.083,83 21.654,20-30,3,sunny,4,2,24,2.45,nd,,0.09,3.15
07/08/14,WE12,12:09,12:25,,,15-Oct,3-Feb,rainy,5.7,1,23.5,9.47,nd,,0.12,6.98
07/08/14,WE13,12:44,12:55,41 44.553,83 08.206,15,3,cloudy,8.2,2,23.3,2.22,nd,,0.14,3.3
07/14/14,WE2,10:00,10:24,41 45.773,83 19.843,10-May,1,partly sunny,5.1,1.8,24.4,3.61,1.02,,17.18,10.43
07/14/14,WE4,12:30,12:49,41 49.598,83 11.620,10-May,1,partly cloudy,8.2,3.5,24.2,1.07,0.17,,0.71,3.96
07/14/14,WE6,10:38,10:57,41 42.598,83 22.870,<5,<1,partly sunny,2.5,1.5,25.2,5.41,0.57,,0.87,19.29
07/14/14,WE8,13:15,13:30,41 50.118,83 21.019,5,<1,mostly sunny,4.2,3.3,25.5,1.93,0.5,,0.56,3.79
07/14/14,WE12,11:17,11:32,41 42.220,83 15.642,May-00,1,partly sunny,6.1,1.5,24.6,3.7,nd,,0.73,7.74
07/14/14,WE13,11:49,12:02,41 44.535,83 08.322,15-Oct,1,partly cloudy,8.5,4,24.5,0.99,0.44,,0.96,4.28
07/21/14,WE2,9:41,10:02,41 45.860,83 19.938,0,0,sunny but foggy,4.8,2,23.5,7.21,4.94,,5.13,16.26
07/21/14,WE4,12:15,,41 49.631,83 11.735,0,0,sunny,6.3,n/a,24.1,1.57,1.82,,6.14,5.95
07/21/14,WE6,10:18,10:33,41 42.809,83 22.786,0,0,sunny,2.8,0.8,23.3,24.7,19.18,,148.94,68.1
07/21/14,WE8,13:01,13:32,41 50.042,83 21.793,0,0,sunny,4.2,n/a,25.4,2.04,3.74,,1.03,8.8
07/21/14,WE12,11:03,11:20,41 42.224,83 15.384,0,0,sunny,6,1.2,23.9,5.58,6.14,,5.59,18.62
07/21/14,WE13,11:43,11:58,41 44.535,83 08.225,0,0,sunny,8.2,3.8,24.2,6.67,2.81,,1.76,7.81
07/29/14,WE2,9:42,10:00,41 45.873,83 19.849,10-May,1,sunny,4.8,2,22.2,3.52,3.98,,8.81,10.02
07/29/14,WE4,12:17,12:33,41 49.637,83 11.713,10-May,1,sunny,8.1,n/a,22.6,2.45,1.01,,4.77,6.12
07/29/14,WE6,10:17,10:31,41 42.735,83 22.917,10-May,1,sunny,2.4,0.5,21.7,23.2,20.56,,201.19,126.14
07/29/14,WE8,13:09,13:22,41 50.113,83 21.757,10,1,partly cloudy,4.1,n/a,24,9,5.85,,49.57,42.11
07/29/14,WE12,10:53,11:08,41 42.168,83 15.475,10-May,1,sunny,5.9,0.6,22.2,15.5,6.93,,27.74,33.15
07/29/14,WE13,11:27,11:55,41 44.319,83 08.182,10-May,1,sunny,8.2,n/a,22.6,2.35,1.74,,2.56,5.63
08/04/14,WE2,10:46,11:15,41 45.912,83 19.835,<5,0,sunny,4.9,1,23.1,8.99,4.33,,39.01,29.44
08/04/14,WE4,14:45,15:04,41 49.714,83 11.654,10-May,3-Jan,partly cloudy,8,1.6,24.6,3.56,1.54,,15.38,18.11
08/04/14,WE6,11:30,11:53,41 42.679,83 22.631,<5,0,sunny,2.6,0.6,24.4,21.9,10.14,,93.15,71.62
08/04/14,WE8,15:30,0:00,41 50.254,83 21.823,15-Oct,3-Jan,mostly cloudy,4.2,0.8,24.5,12.3,4.31,,21.34,46.53
08/04/14,WE12,12:48,13:17,41 42.157,83 15.781,<5,0,hazy,6,0.6,24.6,17.7,9.28,,45.43,54.46
08/04/14,WE12B,12:48,13:17,41 42.157,83 15.781,<5,0,hazy,6,0.6,24.6,10.2,4.39,,44.5,46.27
08/04/14,WE13,14:08,14:29,41 44.539,83 08.286,<5,0,partly sunny,8.3,1.2,24.2,2.11,1.17,,8.46,6.74
08/04/14,1-Aug,12:00,12:25,41 42.913,83 19.722,<5,0,hazy,2.9,0.5,24.9,22.3,8.19,,34.93,51.2
08/04/14,2-Aug,13:25,13:48,41 40.561,83 14.329,<5,0,mostly sunny,5,1,24.5,20.4,10.58,,64.57,69.44
08/11/14,WE2,11:34,11:47,41 45.856,83 19.922,15-Oct,2,rainy,5.1,0.2,23.8,41.9,29.3,,268.78,71.96
08/11/14,WE4,13:30,13:38,41 49.578,83 11.687,15-Oct,3-Feb,rainy,8.1,0.8,23.5,12,11.4,,52.11,30.23
08/11/14,WE6,12:00,12:10,41 42.718,83 22.754,10-May,2-Jan,rainy,2.8,0.2,23.6,66.3,36.7,,70.87,97.96
