Date	Station	variable	value
5/27	WE2	Richness	427.14
5/27	WE4	Richness	360.34
6/16	WE2	Richness	384.26
6/16	WE12	Richness	434.72
6/16	WE4	Richness	388.47
6/30	WE2	Richness	387.16
6/30	WE12	Richness	346.69
6/30	WE4	Richness	428.03
7/8	WE2	Richness	348.95
7/8	WE12	Richness	692.68
7/8	WE4	Richness	367.58
7/14	WE2	Richness	392.37
7/14	WE12	Richness	442.23
7/14	WE4	Richness	371.7
7/21	WE2	Richness	387.79
7/21	WE12	Richness	475.61
7/21	WE4	Richness	383.29
7/29	WE2	Richness	460.57
7/29	WE12	Richness	465.45
7/29	WE4	Richness	453.45
8/4	WE2	Richness	460.62
8/4	WE12	Richness	448.51
8/4	WE4	Richness	432.51
8/18	WE2	Richness	732.9
8/18	WE12	Richness	633.36
8/18	WE4	Richness	475.61
8/25	WE2	Richness	658.24
8/25	WE12	Richness	697.68
8/25	WE4	Richness	497.27
9/2	WE2	Richness	692.17
9/2	WE12	Richness	645.77
9/2	WE4	Richness	534.38
9/8	WE2	Richness	680.21
9/8	WE12	Richness	625.96
9/8	WE4	Richness	611.3
9/15	WE2	Richness	745.09
9/15	WE12	Richness	870.63
9/15	WE4	Richness	610.98
9/23	WE2	Richness	749.09
9/23	WE12	Richness	668.56
9/23	WE4	Richness	611.76
9/29	WE2	Richness	552.39
9/29	WE12	Richness	547.74
10/6	WE2	Richness	735.62
10/6	WE12	Richness	651.44
10/6	WE4	Richness	591.62
10/15	WE2	Richness	785.95
10/15	WE12	Richness	335
10/15	WE4	Richness	709.43
10/20	WE2	Richness	751.39
10/20	WE12	Richness	965.71
10/20	WE4	Richness	584.88
10/27	WE2	Richness	777.86
10/27	WE12	Richness	789.71
10/27	WE4	Richness	384.11
11/3	WE2	Richness	1433.58
11/3	WE12	Richness	1210.89
5/27	WE2	Evenness	31.90951155
5/27	WE4	Evenness	22.24825541
6/16	WE2	Evenness	21.5345634
6/16	WE12	Evenness	27.89539693
6/16	WE4	Evenness	27.45529056
6/30	WE2	Evenness	24.18055144
6/30	WE12	Evenness	33.26829769
6/30	WE4	Evenness	29.2461411
7/8	WE2	Evenness	28.73081931
7/8	WE12	Evenness	36.10756079
7/8	WE4	Evenness	29.72166265
7/14	WE2	Evenness	30.04556802
7/14	WE12	Evenness	33.99453114
7/14	WE4	Evenness	37.88264527
7/21	WE2	Evenness	35.41181791
7/21	WE12	Evenness	31.8243891
7/21	WE4	Evenness	40.66110241
7/29	WE2	Evenness	29.24295757
7/29	WE12	Evenness	21.79980026
7/29	WE4	Evenness	38.0623713
8/4	WE2	Evenness	39.30862107
8/4	WE12	Evenness	24.90369656
8/4	WE4	Evenness	34.75987871
8/18	WE2	Evenness	52.81759624
8/18	WE12	Evenness	29.97117135
8/18	WE4	Evenness	35.77782439
8/25	WE2	Evenness	24.92615357
8/25	WE12	Evenness	27.73175739
8/25	WE4	Evenness	43.08678937
9/2	WE2	Evenness	22.46363915
9/2	WE12	Evenness	30.08147969
9/2	WE4	Evenness	31.06063707
9/8	WE2	Evenness	34.29784544
9/8	WE12	Evenness	27.27972448
9/8	WE4	Evenness	43.38581236
9/15	WE2	Evenness	31.19850532
9/15	WE12	Evenness	56.02917021
9/15	WE4	Evenness	25.4767406
9/23	WE2	Evenness	31.37290326
9/23	WE12	Evenness	28.54926894
9/23	WE4	Evenness	26.79135072
9/29	WE2	Evenness	25.50320167
9/29	WE12	Evenness	23.76337762
10/6	WE2	Evenness	15.41658416
10/6	WE12	Evenness	17.53717806
10/6	WE4	Evenness	11.42713034
10/15	WE2	Evenness	27.22702366
10/15	WE12	Evenness	33.74618702
10/15	WE4	Evenness	25.86727494
10/20	WE2	Evenness	16.65258177
10/20	WE12	Evenness	50.89366926
10/20	WE4	Evenness	15.4433183
10/27	WE2	Evenness	22.73206297
10/27	WE12	Evenness	35.63901411
10/27	WE4	Evenness	14.09725253
11/3	WE2	Evenness	45.42659645
11/3	WE12	Evenness	63.000857
