SampleID,Samplenum,Date,Station,Date_year,Month,Days,Fraction,Photonum,pH,Type,Intensive,Arrival,Departure,Sky,StationDepth,Secchi,Temp,Turbidity,ParMC,DissMC,Phycocyanin,Chla,LogPhyco,LogChla,LogParMC,H2O2
E0004_100LTR,E0004,5/27,WE2,5/27/14,May,0,100LTR,E140012,8.33,no-amp,n,12:47,12:50,partly sunny,4.9,0.9,21.4,5.44,1.00E-05,NA,3.15,67.2,1.655351829,6.070389328,NA,202.5155118
E0004_22NA,E0004,5/27,WE2,5/27/14,May,0,22NA,E140012,8.33,sample,n,12:47,12:50,partly sunny,4.9,0.9,21.4,5.44,1.00E-05,NA,3.15,67.2,1.655351829,6.070389328,NA,202.5155118
E0004_3NA,E0004,5/27,WE2,5/27/14,May,0,3NA,E140012,8.33,sample,n,12:47,12:50,partly sunny,4.9,0.9,21.4,5.44,1.00E-05,NA,3.15,67.2,1.655351829,6.070389328,NA,202.5155118
E0004_53LTR,E0004,5/27,WE2,5/27/14,May,0,53LTR,E140012,8.33,sample,n,12:47,12:50,partly sunny,4.9,0.9,21.4,5.44,1.00E-05,NA,3.15,67.2,1.655351829,6.070389328,NA,202.5155118
E0004_CNA,E0004,5/27,WE2,5/27/14,May,0,CNA,E140012,8.33,sample,n,12:47,12:50,partly sunny,4.9,0.9,21.4,5.44,1.00E-05,NA,3.15,67.2,1.655351829,6.070389328,NA,202.5155118
E0005_100LTR,E0005,5/27,WE4,5/27/14,May,0,100LTR,E140013,8.09,sample,n,12:14,12:17,partly sunny,8.1,2,19.4,1.3,1.00E-05,NA,0.13,5.67,-2.943416472,2.503348735,NA,229.6486167
E0005_22NA,E0005,5/27,WE4,5/27/14,May,0,22NA,E140013,8.09,sample,n,12:14,12:17,partly sunny,8.1,2,19.4,1.3,1.00E-05,NA,0.13,5.67,-2.943416472,2.503348735,NA,229.6486167
E0005_3NA,E0005,5/27,WE4,5/27/14,May,0,3NA,E140013,8.09,sample,n,12:14,12:17,partly sunny,8.1,2,19.4,1.3,1.00E-05,NA,0.13,5.67,-2.943416472,2.503348735,NA,229.6486167
E0005_53LTR,E0005,5/27,WE4,5/27/14,May,0,53LTR,E140013,8.09,sample,n,12:14,12:17,partly sunny,8.1,2,19.4,1.3,1.00E-05,NA,0.13,5.67,-2.943416472,2.503348735,NA,229.6486167
E0005_CNA,E0005,5/27,WE4,5/27/14,May,0,CNA,E140013,8.09,sample,n,12:14,12:17,partly sunny,8.1,2,19.4,1.3,1.00E-05,NA,0.13,5.67,-2.943416472,2.503348735,NA,229.6486167
E0008_100LTR,E0008,6/10,WE4,6/10/14,June,14,100LTR,E140016/152,8.22,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.5360368
E0008_22NA,E0008,6/10,WE4,6/10/14,June,14,22NA,E140016/152,8.22,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.5360368
E0008_3NA,E0008,6/10,WE4,6/10/14,June,14,3NA,E140016/152,8.22,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.5360368
E0008_53LTR,E0008,6/10,WE4,6/10/14,June,14,53LTR,E140016/152,8.22,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.5360368
E0008_CNA,E0008,6/10,WE4,6/10/14,June,14,CNA,E140016/152,8.22,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.5360368
E0009_22NA,E0009,6/10,WE2,6/10/14,June,14,22NA,E140017,8.12,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.3148695
E0009_3NA,E0009,6/10,WE2,6/10/14,June,14,3NA,E140017,8.12,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.3148695
E0009_CNA,E0009,6/10,WE2,6/10/14,June,14,CNA,E140017,8.12,sample,n,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.3148695
E0010_100LTR,E0010,6/16,WE2,6/16/14,June,20,100LTR,E140018,8.08,sample,n,10:35,10:57,sunny,5.1,0.9,22.4,10.1,1.00E-05,NA,0.31,10.72,-1.689659879,3.422233001,NA,217.121296
E0010_22NA,E0010,6/16,WE2,6/16/14,June,20,22NA,E140018,8.08,sample,n,10:35,10:57,sunny,5.1,0.9,22.4,10.1,1.00E-05,NA,0.31,10.72,-1.689659879,3.422233001,NA,217.121296
