Date,Site,SRP,TP,TDP,POC,PON,PP,N:P,Nitrate,Ammonia
5/27/14,WE2,0.93,58.6,12.1,2.55,0.50,46.53,10.74,1903.5,3.55
6/16/14,WE2,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51
6/30/14,WE2,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64
7/8/14,WE2,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29
7/14/14,WE2,0.57,26.2,6.9,0.87,0.15,19.21,7.95,1090,11.03
7/21/14,WE2,0.04,32.2,4.5,2.32,0.30,27.74,10.87,518,2.93
7/29/14,WE2,2.50,23.6,6.0,0.78,0.11,17.57,6.54,439,6.48
8/4/14,WE2,1.45,32.0,4.8,2.10,0.32,27.16,11.94,556,3.03
8/11/14,WE2,0.69,121.1,6.9,6.79,1.21,114.19,10.57,146,7.07
8/18/14,WE2,1.27,72.1,7.1,3.96,0.54,65.03,8.35,1,3.25
8/25/14,WE2,15.75,90.3,21.2,2.82,0.44,69.10,6.34,8,3.38
9/2/14,WE2,4.38,71.5,8.5,2.33,0.36,62.95,5.79,32,4.92
9/8/14,WE2,4.08,42.7,8.3,1.57,0.21,34.33,6.13,53,1.15
9/15/14,WE2,20.21,57.5,22.9,31.68,5.91,34.52,,143,10.97
9/23/14,WE2,21.22,65.3,21.1,1.33,0.25,44.24,5.67,152,12.85
9/29/14,WE2,2.25,132.7,8.3,5.84,1.07,124.46,8.59,147.5,0.10
10/6/14,WE2,12.65,53.0,11.1,1.56,0.21,41.97,4.89,149,11.18
10/15/14,WE2,10.19,48.8,17.2,1.10,0.14,31.53,4.53,153.5,9.31
10/20/14,WE2,9.16,44.3,16.0,0.77,0.13,28.34,4.48,161.5,6.57
10/27/14,WE2,8.52,38.9,18.6,0.49,0.06,20.37,3.14,162.5,3.72
11/3/14,WE2,15.60,95.9,23.5,1.28,0.12,72.37,1.66,197.5,69.57
5/27/14,WE4,0.43,10.9,3.9,0.62,0.10,6.99,13.87,304.5,3.09
6/16/14,WE4,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41
6/30/14,WE4,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65
7/8/14,WE4,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.80
7/14/14,WE4,0.10,13.1,3.1,0.45,0.07,9.94,7.51,392,13.36
7/21/14,WE4,0.14,14.3,1.7,0.89,0.13,12.58,10.30,318,1.69
7/29/14,WE4,1.01,16.5,3.1,0.61,0.09,13.39,6.97,308,9.39
8/4/14,WE4,0.55,22.1,3.2,1.75,0.24,18.92,12.76,139,1.64
8/11/14,WE4,0.98,45.7,5.7,2.64,0.45,40.03,11.32,39,7.14
8/18/14,WE4,NA,12.0,1.3,0.55,0.10,10.65,8.97,179,1.77
8/25/14,WE4,0.20,11.6,0.6,0.39,0.06,10.95,5.65,199,18.23
9/2/14,WE4,0.90,30.6,2.7,1.55,0.26,27.93,9.25,73,5.28
9/8/14,WE4,0.27,30.6,3.5,1.57,0.28,27.08,10.27,63,1.54
9/15/14,WE4,2.85,35.1,5.6,0.90,0.14,29.46,4.62,192,11.83
9/23/14,WE4,0.10,9.9,1.5,0.33,0.06,8.49,6.60,176,0.59
9/29/14,WE4,0.10,17.7,3.1,0.82,0.14,14.64,9.43,188,0.33
10/6/14,WE4,6.84,20.7,4.8,0.40,0.06,15.95,3.65,191.5,23.01
10/15/14,WE4,13.02,40.1,21.0,0.60,0.10,19.05,5.37,163,24.25
10/20/14,WE4,0.29,11.9,2.6,0.23,0.04,9.33,4.47,197,7.66
10/27/14,WE4,3.05,11.9,7.7,0.14,0.01,4.14,3.58,199,58.20
5/27/14,WE6,7.91,113.3,25.6,2.45,0.50,87.66,5.71,6554.5,8.75
6/16/14,WE6,2.65,57.4,15.6,1.39,0.26,41.80,6.32,2044,1.34
6/30/14,WE6,21.71,81.3,35.7,1.15,0.24,45.53,5.18,3875.5,4.35
7/8/14,WE6,3.88,80.8,16.7,1.13,0.16,64.14,2.52,3948,7.27
7/14/14,WE6,18.39,59.3,32.0,0.85,0.15,27.31,5.51,2731.5,29.95
7/21/14,WE6,0.10,80.2,8.3,7.06,1.12,71.91,15.64,1649.5,2.13
7/29/14,WE6,1.12,104.0,10.3,6.01,1.12,93.74,11.97,1432.5,0.10
8/4/14,WE6,0.25,62.2,6.7,5.63,0.86,55.48,15.54,288,1.82
8/11/14,WE6,0.10,133.0,6.2,7.95,1.36,126.85,10.74,217.5,4.02
8/18/14,WE6,1.47,150.0,9.0,6.80,0.88,140.98,6.23,0.5,2.37
8/25/14,WE6,4.42,114.1,11.5,4.55,0.65,102.58,6.31,15,2.37
9/2/14,WE6,3.26,140.7,8.8,7.50,1.11,131.91,8.40,38,4.78
9/8/14,WE6,3.31,97.1,,4.15,0.50,97.15,5.17,61,1.47
9/15/14,WE6,61.38,100.6,63.7,2.22,0.21,36.90,5.74,397,201.69
9/23/14,WE6,27.86,62.3,27.8,1.18,0.22,34.48,6.35,199.5,15.92
9/29/14,WE6,0.10,67.1,5.4,4.31,0.63,61.68,10.16,140.5,0.10
10/6/14,WE6,1.52,127.8,6.1,4.49,0.84,121.64,6.91,372.5,0.10
10/15/14,WE6,1.09,64.3,6.8,1.95,0.31,57.47,5.37,151.5,2.37
10/20/14,WE6,5.42,83.8,15.9,2.05,0.37,67.90,5.49,432,6.71
10/27/14,WE6,6.01,47.3,16.7,0.93,0.13,30.59,4.26,234,8.13
11/3/14,WE6,15.37,185.6,27.6,1.78,0.22,157.93,1.38,243.5,62.53
5/27/14,WE8,0.10,18.2,5.5,0.49,0.09,12.69,6.80,764.5,4.57
6/16/14,WE8,24.93,55.1,37.3,0.60,0.12,17.74,6.56,2002.5,102.92
6/30/14,WE8,8.77,69.5,19.7,1.55,0.25,49.82,4.95,3048.5,4.62
7/8/14,WE8,9.98,28.0,16.1,0.35,0.05,11.85,4.63,472.5,40.56
7/14/14,WE8,7.52,28.2,16.2,0.39,0.06,12.01,5.27,1211,52.40
7/21/14,WE8,1.70,28.9,9.2,1.23,0.16,19.68,8.21,600.5,7.70
7/29/14,WE8,0.46,50.4,6.9,3.66,0.56,43.44,12.87,430,0.10
8/4/14,WE8,0.17,40.1,4.9,2.94,0.41,35.20,11.73,86.5,1.31
8/11/14,WE8,1.65,80.4,7.9,3.63,0.65,72.45,8.99,15.5,9.14
8/18/14,WE8,1.35,66.9,7.4,3.34,0.49,59.55,8.29,2,1.85
8/25/14,WE8,6.60,65.6,11.8,2.94,0.39,53.80,7.23,23,1.84
9/2/14,WE8,4.99,103.7,10.1,4.26,0.65,93.59,6.92,47,5.84
9/8/14,WE8,10.73,82.2,16.1,3.62,0.45,66.12,6.84,66,1.88
9/15/14,WE8,15.22,64.0,20.1,0.31,0.06,43.89,1.34,151,10.13
9/23/14,WE8,6.75,110.1,11.3,4.77,0.79,98.78,8.03,148.5,0.10
9/29/14,WE8,0.10,177.4,5.5,11.73,1.68,171.97,9.75,139.5,0.10
10/6/14,WE8,14.83,73.7,12.3,2.00,0.40,61.42,6.46,147.5,3.80
10/15/14,WE8,0.25,1393.6,8.0,31.68,5.91,1385.61,4.27,143,0.10
10/20/14,WE8,2.43,81.6,9.5,2.32,0.51,72.10,7.07,152,4.49
10/27/14,WE8,7.59,25.2,17.8,0.33,0.04,7.49,4.96,154.5,8.85
11/3/14,WE8,14.87,61.6,25.2,0.95,0.14,36.40,3.83,176.5,41.37
5/27/14,WE12,0.24,9.9,3.2,0.39,0.07,6.69,11.00,305,2.34
6/16/14,WE12,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14
6/30/14,WE12,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18
7/8/14,WE12,0.20,34.0,5.1,0.66,0.10,28.97,3.62,343.5,16.16
7/14/14,WE12,0.10,23.1,4.6,0.58,0.10,18.49,5.49,448.5,3.04
7/21/14,WE12,0.10,32.1,4.5,1.80,0.29,27.63,10.49,1021,1.82
7/29/14,WE12,3.46,67.5,7.9,2.86,0.52,59.57,8.74,1026,0.10
8/4/14,WE12,0.10,44.4,5.3,4.65,0.68,39.03,17.35,617.5,3.25
8/11/14,WE12,1.53,43.6,5.6,1.34,0.25,37.93,6.48,145,8.12
8/18/14,WE12,2.44,82.7,7.2,3.76,0.58,75.56,7.71,3,2.01
8/25/14,WE12,3.68,98.1,10.3,4.03,0.59,87.88,6.68,28,2.58
9/2/14,WE12,1.81,47.5,5.6,1.76,0.27,41.90,6.48,48,1.63
9/8/14,WE12,1.87,47.3,6.4,1.58,0.20,40.86,4.98,70,1.10
9/15/14,WE12,12.10,66.0,15.9,1.15,0.21,50.05,4.17,141,0.10
9/23/14,WE12,17.39,60.3,17.7,1.77,0.32,42.62,7.42,150,3.14
