"Date","Station","ParMC","DissMC","Phycocyanin","Chla","DOC","SRP","TP","TDP","POC","PON","PP","N.P","Nitrate","Ammonia","SortChem","H2O2","Intensive"
"5/27","WE2",0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n"
"5/27","WE4",0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n"
"6/16","WE12",0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,"E2014_0012",180.3269431,"n"
"6/16","WE2",0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n"
"6/16","WE4",0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,"E2014_0014",224.5437696,"n"
"6/30","WE12",0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,"E2014_0018",NA,"n"
"6/30","WE2",0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,"E2014_0016",NA,"n"
"6/30","WE4",0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,"E2014_0020",NA,"n"
"7/8","WE12",0,NA,0.12,6.98,3.05175,0.2,34,5.1,0.66,0.1,28.97,3.62,343.5,16.16,"E2014_0024",154.9502201,"n"
"7/8","WE2",0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,"E2014_0022",163.6026951,"n"
"7/8","WE4",0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,"E2014_0026",173.9337628,"n"
"7/14","WE12",0,NA,0.73,7.74,3.04975,0.1,23.1,4.6,0.58,0.1,18.49,5.49,448.5,3.04,"E2014_0030",421.5805285,"n"
"7/14","WE2",1.02,NA,17.18,10.43,3.89275,0.57,26.2,6.9,0.87,0.15,19.21,7.95,1090,11.03,"E2014_0028",683.259721,"n"
"7/14","WE4",0.17,NA,0.71,3.96,2.784,0.1,13.1,3.1,0.45,0.07,9.94,7.51,392,13.36,"E2014_0032",753.8813493,"n"
"7/21","WE12",6.14,NA,5.59,18.62,3.75225,0.1,32.1,4.5,1.8,0.29,27.63,10.49,1021,1.82,"E2014_0036",463.5637402,"n"
"7/21","WE2",4.94,NA,5.13,16.26,3.41125,0.04,32.2,4.5,2.32,0.3,27.74,10.87,518,2.93,"E2014_0034",429.7049332,"n"
"7/21","WE4",1.82,NA,6.14,5.95,2.37875,0.14,14.3,1.7,0.89,0.13,12.58,10.3,318,1.69,"E2014_0038",317.7296414,"n"
"7/29","WE12",6.93,NA,27.74,33.15,3.6775,3.46,67.5,7.9,2.86,0.52,59.57,8.74,1026,0.1,"E2014_0042",883.4676478,"n"
"7/29","WE2",3.98,NA,8.81,10.02,3.396,2.5,23.6,6,0.78,0.11,17.57,6.54,439,6.48,"E2014_0040",1383.37604,"n"
"7/29","WE4",1.01,NA,4.77,6.12,2.44225,1.01,16.5,3.1,0.61,0.09,13.39,6.97,308,9.39,"E2014_0044",717.1590595,"n"
"8/4","WE12",9.28,NA,45.43,54.46,3.94625,0.1,44.4,5.3,4.65,0.68,39.03,17.35,617.5,3.25,"E2014_0048",331.0631026,"n"
"8/4","WE2",4.33,NA,39.01,29.44,3.898,1.45,32,4.8,2.1,0.32,27.16,11.94,556,3.03,"E2014_0046",303.8264776,"n"
"8/4","WE4",1.54,NA,15.38,18.11,3.28225,0.55,22.1,3.2,1.75,0.24,18.92,12.76,139,1.64,"E2014_0050",295.2206983,"n"
