,OTU, pvalue , r ,,,,,
"CNA, TG",Otu00012, 0.029 , 0.441 ,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
,Otu00093, 0.009 , 0.483 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,unclassified
,Otu00128, 0.006 , 0.508 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,unclassified
,Otu00138, 0.006 , 0.503 ,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,unclassified
,Otu00212, 0.004 , 0.527 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,unclassified
,Otu00256, 0.047 , 0.420 ,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
,Otu00538, 0.004 , 0.527 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,unclassified
,Otu00568, 0.015 , 0.466 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,unclassified
,Otu00867, 0.004 , 0.546 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
"CNA, CG",Otu00008, 0.035 ,-0.449,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
,Otu00065, 0.025 , 0.466 ,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
,Otu00114, 0.025 , 0.475 ,Planctomycetes,OM190,unclassified,unclassified,unclassified
,Otu00159, 0.025 , 0.469 ,Chlorobi,Chlorobia,Chlorobiales,OPB56,unclassified
,Otu00175, 0.025 , 0.482 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Candidatus_Aquirestis
"100, CG",Otu00078, 0.008 , 0.511 ,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
,Otu00117, 0.000 , 0.681 ,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
,Otu00193, 0.000 , 0.597 ,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,Anabaena
,Otu00349, 0.034 , 0.452 ,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,unclassified
,Otu00367, 0.000 , 0.729 ,Cyanobacteria,unclassified,unclassified,unclassified,unclassified
,Otu00419, 0.021 , 0.470 ,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas
,Otu00451, 0.006 , 0.521 ,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,unclassified
,Otu00522, 0.009 , 0.501 ,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unclassified
,Otu01486, 0.009 , 0.497 ,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
"53, TG ",Otu00012, 0.048 , 0.486 ,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
,Otu00248, 0.011 , 0.532 ,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
,Otu00999, 0.011 , 0.540 ,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella
,Otu01259, 0.011 , 0.532 ,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
,Otu01492, 0.011 , 0.532 ,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales_Incertae_Sedis,unclassified
,Otu01493, 0.011 , 0.532 ,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
,Otu03166, 0.011 , 0.532 ,Bacteroidetes,Cytophagia,Cytophagales,unclassified,unclassified
"53, CG",Otu00014, 0.001 , 0.622 ,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
,Otu00063, 0.016 , 0.534 ,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,Anabaena
,Otu00112, 0.045 , 0.484 ,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
,Otu00159, 0.045 , 0.495 ,Chlorobi,Chlorobia,Chlorobiales,OPB56,unclassified
,Otu00193, 0.001 , 0.610 ,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,Anabaena
,Otu00367, 0.045 , 0.487 ,Cyanobacteria,unclassified,unclassified,unclassified,unclassified
,Otu00451, 0.045 , 0.487 ,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,unclassified
,Otu01489, 0.016 , 0.538 ,Proteobacteria,Betaproteobacteria,Nitrosomonadales,unclassified,unclassified
"3, TG",Otu00012, 0.011 , 0.501 ,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
,Otu00037, 0.041 , 0.444 ,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Pseudanabaena
,Otu00074, 0.017 , 0.482 ,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
,Otu00128, 0.011 , 0.507 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,unclassified
,Otu00212, 0.011 , 0.510 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,unclassified
,Otu00538, 0.004 , 0.559 ,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,unclassified
,Otu00720, 0.023 , 0.468 ,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
"3, CG",Otu00006, 0.031 , 0.436 ,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
,Otu00027, 0.001 , 0.559 ,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
,Otu00063, 0.007 , 0.490 ,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,Anabaena
