SampleID	Samplenum	Date	Station	Fraction	Photonum	pH	Type	Intensive	Arrival	Departure	Sky	StationDepth	Secchi	Temp	Turbidity	ParMC	DissMC	Phycocyanin	Chla
E0004_100L	E0004	5/27/14	WE2	100L	E140012	8.33	no-amp	n	12:47	12:50	partly sunny	4.9	0.9	21.4	5.44	nd		3.15	67.2
E0004_22NA	E0004	5/27/14	WE2	22NA	E140012	8.33	sample	n	12:47	12:50	partly sunny	4.9	0.9	21.4	5.44	nd		3.15	67.2
E0004_CNA	E0004	5/27/14	WE2	CNA	E140012	8.33	sample	n	12:47	12:50	partly sunny	4.9	0.9	21.4	5.44	nd		3.15	67.2
E0005_100L	E0005	5/27/14	WE4	100L	E140013	8.09	sample	n	12:14	12:17	partly sunny	8.1	2	19.4	1.3	nd		0.13	5.67
E0005_22NA	E0005	5/27/14	WE4	22NA	E140013	8.09	sample	n	12:14	12:17	partly sunny	8.1	2	19.4	1.3	nd		0.13	5.67
E0005_CNA	E0005	5/27/14	WE4	CNA	E140013	8.09	sample	n	12:14	12:17	partly sunny	8.1	2	19.4	1.3	nd		0.13	5.67
E0008_100L	E0008	6/10/14	WE4	100L	E140016/152	8.22	sample	n				NA		NA	NA			NA	NA
E0008_22NA	E0008	6/10/14	WE4	22NA	E140016/152	8.22	sample	n				NA		NA	NA			NA	NA
E0008_CNA	E0008	6/10/14	WE4	CNA	E140016/152	8.22	sample	n				NA		NA	NA			NA	NA
E0009_22NA	E0009	6/10/14	WE2	22NA	E140017	8.12	sample	n				NA		NA	NA			NA	NA
E0009_CNA	E0009	6/10/14	WE2	CNA	E140017	8.12	sample	n				NA		NA	NA			NA	NA
E0010_100L	E0010	6/16/14	WE2	100L	E140018	8.08	sample	n	10:35	10:57	sunny	5.1	0.9	22.4	10.1	nd		0.31	10.72
E0010_22NA	E0010	6/16/14	WE2	22NA	E140018	8.08	sample	n	10:35	10:57	sunny	5.1	0.9	22.4	10.1	nd		0.31	10.72
