SampleID	Samplenum	Date	Date_year	Days	Station	Fraction	Photonum	pH	Type	Intensive	Arrival	Departure	Sky	StationDepth	Secchi	Temp	Turbidity	ParMC	DissMC	Phycocyanin	Chla	Bloom	LogPhyco	LogChla	LogParMC
E0004_100LTR	E0004	5/27	5/27/14	0	WE2	100L	E140012	8.33	no-amp	n	12:47	12:50	partly sunny	4.9	0.9	21.4	5.44	0.00001		3.15	67.2	a	1.655351829	6.070389328	
E0004_22NA	E0004	5/27	5/27/14	0	WE2	22NA	E140012	8.33	sample	n	12:47	12:50	partly sunny	4.9	0.9	21.4	5.44	0.00001		3.15	67.2	a	1.655351829	6.070389328	
E0004_CNA	E0004	5/27	5/27/14	0	WE2	CNA	E140012	8.33	sample	n	12:47	12:50	partly sunny	4.9	0.9	21.4	5.44	0.00001		3.15	67.2	a	1.655351829	6.070389328	
E0005_100LTR	E0005	5/27	5/27/14	0	WE4	100L	E140013	8.09	sample	n	12:14	12:17	partly sunny	8.1	2	19.4	1.3	0.00001		0.13	5.67	a	-2.943416472	2.503348735	
E0005_22NA	E0005	5/27	5/27/14	0	WE4	22NA	E140013	8.09	sample	n	12:14	12:17	partly sunny	8.1	2	19.4	1.3	0.00001		0.13	5.67	a	-2.943416472	2.503348735	
E0005_CNA	E0005	5/27	5/27/14	0	WE4	CNA	E140013	8.09	sample	n	12:14	12:17	partly sunny	8.1	2	19.4	1.3	0.00001		0.13	5.67	a	-2.943416472	2.503348735	
E0008_100LTR	E0008	6/10	6/10/14	14	WE4	100L	E140016/152	8.22	sample	n				NA		NA	NA			NA	NA	a			
E0008_22NA	E0008	6/10	6/10/14	14	WE4	22NA	E140016/152	8.22	sample	n				NA		NA	NA			NA	NA	a			
E0008_CNA	E0008	6/10	6/10/14	14	WE4	CNA	E140016/152	8.22	sample	n				NA		NA	NA			NA	NA	a			
E0009_22NA	E0009	6/10	6/10/14	14	WE2	22NA	E140017	8.12	sample	n				NA		NA	NA			NA	NA	a			
