SortChem,Station,Date,H2O2,Intensive
E2014_0004,WE2,5/27,202.5155118,n
E2014_0005,WE4,5/27,229.6486167,n
E2014_0009,WE2,6/10,279.3148695,n
E2014_0008,WE4,6/10,240.5360368,n
E2014_0012,WE12,6/16,180.3269431,n
E2014_0010,WE2,6/16,217.121296,n
E2014_0014,WE4,6/16,224.5437696,n
E2014_0018,WE12,6/30,,n
E2014_0016,WE2,6/30,,n
E2014_0020,WE4,6/30,,n
E2014_0024,WE12,7/8,154.9502201,n
E2014_0022,WE2,7/8,163.6026951,n
E2014_0026,WE4,7/8,173.9337628,n
E2014_0030,WE12,7/14,421.5805285,n
E2014_0028,WE2,7/14,683.259721,n
E2014_0032,WE4,7/14,753.8813493,n
E2014_0036,WE12,7/21,463.5637402,n
E2014_0034,WE2,7/21,429.7049332,n
E2014_0038,WE4,7/21,317.7296414,n
E2014_0042,WE12,7/29,883.4676478,n
E2014_0040,WE2,7/29,1383.37604,n
E2014_0044,WE4,7/29,717.1590595,n
E2014_0048,WE12,8/4,331.0631026,n
E2014_0046,WE2,8/4,303.8264776,n
E2014_0050,WE4,8/4,295.2206983,n
E2014_0054,WE12,8/11,295.5588752,n
E2014_0052,WE2,8/11,292.8814101,n
E2014_0056,WE4,8/11,263.5888692,n
E2014_0060,WE12,8/18,214.2496831,n
E2014_0058,WE2,8/18,203.664182,n
E2014_0062,WE4,8/18,215.008592,n
E2014_0066,WE12,8/25,392.5883741,n
E2014_0064,WE2,8/25,279.7923708,n
E2014_0068,WE4,8/25,304.2043115,n
E2014_0073,WE12,8/26,391.9634275,Bottom
E2014_0072,WE12,8/26,608.9697013,Surface
E2014_0071,WE2,8/26,293.1137284,Bottom
E2014_0070,WE2,8/26,315.7814204,Surface
E2014_0075,WE4,8/26,305.5727636,Bottom
E2014_0074,WE4,8/26,382.7913371,Surface
E2014_0078,WE12,9/2,279.0339353,n
E2014_0076,WE2,9/2,281.547499,n
E2014_0080,WE4,9/2,311.1521277,n
E2014_0084,WE12,9/8,283.6230938,n
E2014_0082,WE2,9/8,220.6112009,n
E2014_0086,WE4,9/8,246.0188035,n
E2014_0090,WE12,9/15,180.3205479,n
E2014_0088,WE2,9/15,215.4381433,n
E2014_0092,WE4,9/15,213.1191761,n
E2014_0097,WE12,9/18,198.4255437,Bottom
E2014_0096,WE12,9/18,210.4805518,Surface
E2014_0095,WE2,9/18,171.3286541,Bottom
E2014_0094,WE2,9/18,196.4095106,Surface
E2014_0099,WE4,9/18,199.3458908,Bottom
E2014_0098,WE4,9/18,220.5746029,Surface
E2014_0102,WE12,9/23,270.7901863,n
E2014_0100,WE2,9/23,213.3807517,n
E2014_0104,WE4,9/23,270.6391546,n
E2014_0108,WE12,9/29,320.7728026,n
E2014_0106,WE2,9/29,296.5561875,n
E2014_0110,WE4,9/29,290.0495404,n
E2014_0114,WE12,10/6,183.076992,n
E2014_0112,WE2,10/6,163.163617,n
E2014_0116,WE4,10/6,182.2009117,n
E2014_0120,WE12,10/15,214.3144507,n
E2014_0118,WE2,10/15,154.2188826,n
E2014_0122,WE4,10/15,211.6492848,n
E2014_0126,WE12,10/20,178.0787383,n
E2014_0124,WE2,10/20,156.6879621,n
E2014_0128,WE4,10/20,188.689771,n
E2014_0132,WE12,10/27,231.1136556,n
E2014_0130,WE2,10/27,131.0076975,n
E2014_0134,WE4,10/27,272.035205,n
E2014_0138,WE12,11/3,413.4252926,n
E2014_0136,WE2,11/3,522.8830441,n
